,scenario,simulation_id,#simulation,gt_type,n_manufacturers,periods,disruption_prob,disruption_magnitude,peak_shortage,avg_shortage,shortage_periods,resolution_time,total_profit,buyer_cost,fda_interventions,trajectory_period,trajectory_total_demand,trajectory_total_supply,trajectory_shortage_amount,trajectory_unsold,trajectory_shortage_percentage,trajectory_disrupted_manufacturers,trajectory_fda_announcement,shortage_flag
0,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,0,1,1,0,0,0,[],,FALSE
1,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,1,1.2,0.9,0.3,0,0.25,[1],"The FDA is aware of a potential disruption by one manufacturer, but current supply levels are adequate. We encourage stakeholders to report any changes in supply to help us monitor the situation. No immediate action is required.",TRUE
2,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,2,1.3,0.82,0.48,0,0.369230769,[1],The FDA is aware of an emerging shortage situation concerning a specific drug due to manufacturer disruption. We are closely monitoring the situation and encourage manufacturers and other stakeholders to report any changes in supply status. Coordination efforts are underway to minimize patient impact.,TRUE
3,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,3,1.3,0.97,0.33,0,0.253846154,[1],The FDA is aware of an emerging drug shortage due to manufacturer disruptions. We are actively coordinating with stakeholders to address supply issues. Healthcare providers are encouraged to conserve inventory and report any additional supply disruptions.,TRUE
4,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,4,1.3,0.97,0.33,0,0.253846154,[1],The FDA is closely monitoring the emerging drug shortage and encourages all manufacturers to report any potential disruptions. Stakeholders are advised of our continued oversight and guidance as needed.,TRUE
5,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,5,1.1,0.87,0.23,0,0.209090909,[],The FDA is actively monitoring the current situation of an emerging shortage. We encourage manufacturers to report any production issues and buyers to engage in prudent purchasing practices. No immediate actions are needed from the general public.,TRUE
6,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,6,1.5,0.84,0.66,0,0.44,[0],The FDA is aware of emerging supply disruptions affecting one manufacturer of this product. We are actively monitoring the situation and encourage stakeholders to continue reporting supply issues.,TRUE
7,gt_id_22,5207632f,0,1,2,8,0.05,0.2,0.44,0.257001748,7,,7.183,10.4194,7,7,1.3,0.936,0.364,0,0.28,[0],The FDA is aware of the emerging drug shortage and is actively working with stakeholders to mitigate supply disruptions. Manufacturers are encouraged to communicate any production capacity changes promptly. Patients and healthcare providers are advised to follow updates and manage inventory responsibly to prevent exacerbating the situation.,TRUE
8,gt_id_23,e35604ff,0,1,2,6,0.05,0.2,0.307692308,0.226282051,6,,5.6775,7.985,5,0,1.2,0.9,0.3,0,0.25,[0],,TRUE
9,gt_id_23,e35604ff,0,1,2,6,0.05,0.2,0.307692308,0.226282051,6,,5.6775,7.985,5,1,1.3,0.9,0.4,0,0.307692308,[0],The FDA acknowledges the emerging shortage and is actively monitoring the situation. We encourage manufacturers to report any production disruptions and buyers to maintain normal purchasing patterns. Coordination efforts are underway to minimize patient impact.,TRUE
10,gt_id_23,e35604ff,0,1,2,6,0.05,0.2,0.307692308,0.226282051,6,,5.6775,7.985,5,2,1.5,1.05,0.45,0.05,0.3,[0],The FDA is aware of emerging supply disruptions affecting certain drug categories. We encourage manufacturers to report supply issues promptly and explore capacity expansion. Buyers are advised to maintain normal purchasing patterns to avoid exacerbating the situation.,FALSE
11,gt_id_23,e35604ff,0,1,2,6,0.05,0.2,0.307692308,0.226282051,6,,5.6775,7.985,5,3,1.2,1,0.2,0,0.166666667,[],The FDA is closely monitoring the emerging drug shortage and encourages manufacturers and healthcare providers to report supply chain issues.,FALSE
12,gt_id_23,e35604ff,0,1,2,6,0.05,0.2,0.307692308,0.226282051,6,,5.6775,7.985,5,4,1.2,1,0.2,0,0.166666667,[],The FDA is aware of emerging supply concerns in certain drug markets and is closely monitoring the situation. Manufacturers are encouraged to voluntarily report any production challenges.,FALSE
13,gt_id_23,e35604ff,0,1,2,6,0.05,0.2,0.307692308,0.226282051,6,,5.6775,7.985,5,5,1.2,1,0.2,0,0.166666667,[],The FDA is aware of potential emerging shortages in the market and is actively monitoring the situation. We encourage manufacturers and stakeholders to report any supply disruptions voluntarily.,FALSE
14,gt_id_24,4a0a29e6,0,1,3,6,0.05,0.2,0,0,0,,6,6.3,0,0,1,1,0,0,0,[],,FALSE
15,gt_id_24,4a0a29e6,0,1,3,6,0.05,0.2,0,0,0,,6,6.3,0,1,1,1,0,0,0,[],,FALSE
16,gt_id_24,4a0a29e6,0,1,3,6,0.05,0.2,0,0,0,,6,6.3,0,2,1,1,0,0,0,[],,FALSE
17,gt_id_24,4a0a29e6,0,1,3,6,0.05,0.2,0,0,0,,6,6.3,0,3,1,1,0,0,0,[],,FALSE
18,gt_id_24,4a0a29e6,0,1,3,6,0.05,0.2,0,0,0,,6,6.3,0,4,1,1,0,0,0,[],,FALSE
19,gt_id_24,4a0a29e6,0,1,3,6,0.05,0.2,0,0,0,,6,6.3,0,5,1,1,0,0,0,[],,FALSE
20,gt_id_31,b3805788,0,1,5,6,0.05,0.2,0.04,0.006666667,1,,5.96,6.3,0,0,1,1,0,0,0,[],,FALSE
21,gt_id_31,b3805788,0,1,5,6,0.05,0.2,0.04,0.006666667,1,,5.96,6.3,0,1,1,1,0,0,0,[],,FALSE
22,gt_id_31,b3805788,0,1,5,6,0.05,0.2,0.04,0.006666667,1,,5.96,6.3,0,2,1,1,0,0,0,[],,FALSE
23,gt_id_31,b3805788,0,1,5,6,0.05,0.2,0.04,0.006666667,1,,5.96,6.3,0,3,1,1,0,0,0,[],,FALSE
24,gt_id_31,b3805788,0,1,5,6,0.05,0.2,0.04,0.006666667,1,,5.96,6.3,0,4,1,1,0,0,0,[],,FALSE
25,gt_id_31,b3805788,0,1,5,6,0.05,0.2,0.04,0.006666667,1,,5.96,6.3,0,5,1,0.96,0.04,0,0.04,[3],,TRUE
26,gt_id_32,dea7e6ea,0,1,4,6,0.05,0.2,0.269230769,0.095376845,3,,5.8,6.945,3,0,1,1,0,0,0,[],,FALSE
27,gt_id_32,dea7e6ea,0,1,4,6,0.05,0.2,0.269230769,0.095376845,3,,5.8,6.945,3,1,1,1,0,0,0,[],,FALSE
28,gt_id_32,dea7e6ea,0,1,4,6,0.05,0.2,0.269230769,0.095376845,3,,5.8,6.945,3,2,1,1,0,0,0,[],,FALSE
29,gt_id_32,dea7e6ea,0,1,4,6,0.05,0.2,0.269230769,0.095376845,3,,5.8,6.945,3,3,1.1,0.95,0.15,0,0.136363636,[1],The FDA is monitoring an emerging drug shortage situation. Manufacturers and other stakeholders are encouraged to voluntarily report any changes in supply. No immediate action is required as the supply is currently adequate.,TRUE
30,gt_id_32,dea7e6ea,0,1,4,6,0.05,0.2,0.269230769,0.095376845,3,,5.8,6.945,3,4,1.3,0.95,0.35,0,0.269230769,[1],The FDA is closely monitoring the emerging drug shortage situation. We encourage manufacturers to voluntarily report supply disruptions and collaborate with stakeholders to mitigate impact.,TRUE
31,gt_id_32,dea7e6ea,0,1,4,6,0.05,0.2,0.269230769,0.095376845,3,,5.8,6.945,3,5,1.2,1,0.2,0,0.166666667,[],The FDA is currently monitoring the emerging shortage of the specified drug and encourages manufacturers and distributors to report any disruptions or inventory fluctuations.,FALSE
32,gt_id_33,e37f1efa,0,1,2,4,0.05,0.2,0.25,0.0625,1,,3.9,4.42,2,0,1,1,0,0,0,[],,FALSE
33,gt_id_33,e37f1efa,0,1,2,4,0.05,0.2,0.25,0.0625,1,,3.9,4.42,2,1,1,1,0,0,0,[],The FDA is continuously monitoring current drug supply. No shortages are detected. Stakeholders are encouraged to report any disruptions.,FALSE
34,gt_id_33,e37f1efa,0,1,2,4,0.05,0.2,0.25,0.0625,1,,3.9,4.42,2,2,1,1,0,0,0,[],,FALSE
35,gt_id_33,e37f1efa,0,1,2,4,0.05,0.2,0.25,0.0625,1,,3.9,4.42,2,3,1.2,0.9,0.3,0,0.25,[1],"The FDA is aware of the emerging market conditions affecting supply. We encourage manufacturers to report any disruptions and maintain transparent communication. Current supply is adequate, but we will continue to monitor the situation closely.",TRUE
36,gt_id_34,37d17408,0,1,2,4,0.05,0.2,0.25,0.0625,1,,3.9,4.42,0,0,1,1,0,0,0,[],,FALSE
37,gt_id_34,37d17408,0,1,2,4,0.05,0.2,0.25,0.0625,1,,3.9,4.42,0,1,1,1,0,0,0,[],,FALSE
38,gt_id_34,37d17408,0,1,2,4,0.05,0.2,0.25,0.0625,1,,3.9,4.42,0,2,1,1,0,0,0,[],,FALSE
39,gt_id_34,37d17408,0,1,2,4,0.05,0.2,0.25,0.0625,1,,3.9,4.42,0,3,1.2,0.9,0.3,0,0.25,[0],,TRUE
40,gt_id_35,16eca803,0,1,3,4,0.05,0.2,0.222222222,0.204545455,4,,3.733333333,4.93,4,0,1.2,0.933333333,0.266666667,0,0.222222222,[2],The FDA is closely monitoring the emerging drug shortage. We encourage manufacturers and stakeholders to report any disruptions and coordinate efforts to maintain supply stability.,TRUE
41,gt_id_35,16eca803,0,1,3,4,0.05,0.2,0.222222222,0.204545455,4,,3.733333333,4.93,4,1,1.1,0.933333333,0.166666667,0,0.151515152,[],The FDA is closely monitoring the current market conditions for the product. Manufacturers and stakeholders are encouraged to report any disruptions. Patient access remains a priority.,TRUE
42,gt_id_35,16eca803,0,1,3,4,0.05,0.2,0.222222222,0.204545455,4,,3.733333333,4.93,4,2,1.2,0.933333333,0.266666667,0,0.222222222,[],The FDA is closely monitoring the emerging shortage situation. We encourage manufacturers to voluntarily report any disruptions and for stakeholders to remain informed through our channels.,TRUE
43,gt_id_35,16eca803,0,1,3,4,0.05,0.2,0.222222222,0.204545455,4,,3.733333333,4.93,4,3,1.2,0.933333333,0.266666667,0,0.222222222,[],The FDA is aware of emerging supply issues for certain medications. We encourage manufacturers and healthcare providers to provide updates on supply levels to ensure continued patient access.,TRUE
44,gt_id_39,fcf84f65,0,1,3,4,0.05,0.2,0,0,0,,4,4.2,0,0,1,1,0,0,0,[],,FALSE
45,gt_id_39,fcf84f65,0,1,3,4,0.05,0.2,0,0,0,,4,4.2,0,1,1,1,0,0,0,[],,FALSE
46,gt_id_39,fcf84f65,0,1,3,4,0.05,0.2,0,0,0,,4,4.2,0,2,1,1,0,0,0,[],,FALSE
47,gt_id_39,fcf84f65,0,1,3,4,0.05,0.2,0,0,0,,4,4.2,0,3,1,1,0,0,0,[],,FALSE
48,gt_id_40,92cbd108,0,1,5,4,0.05,0.2,0.2,0.1375,3,,3.864,4.851,3,0,1,1,0,0,0,[],,FALSE
49,gt_id_40,92cbd108,0,1,5,4,0.05,0.2,0.2,0.1375,3,,3.864,4.851,3,1,1.2,0.96,0.24,0,0.2,[4],The FDA is monitoring the emerging shortage and encourages all stakeholders to report any supply chain issues voluntarily.,TRUE
50,gt_id_40,92cbd108,0,1,5,4,0.05,0.2,0.2,0.1375,3,,3.864,4.851,3,2,1.2,0.99,0.21,0,0.175,[4],The FDA is monitoring an emerging supply issue of the affected drug. We encourage manufacturers to report any expected disruptions and buyers to refrain from unnecessary stockpiling.,TRUE
51,gt_id_40,92cbd108,0,1,5,4,0.05,0.2,0.2,0.1375,3,,3.864,4.851,3,3,1.2,0.99,0.21,0,0.175,[],The FDA is aware of emerging concerns regarding the supply of the affected drug. We are actively monitoring the situation and encourage manufacturers and healthcare providers to voluntarily report any supply disruptions.,TRUE
52,gt_id_41,7.58E+38,0,1,3,8,0.05,0.2,0.333333333,0.069444444,2,,7.8,8.943333333,1,0,1,1,0,0,0,[],,FALSE
53,gt_id_41,7.58E+38,0,1,3,8,0.05,0.2,0.333333333,0.069444444,2,,7.8,8.943333333,1,1,1,1,0,0,0,[],,FALSE
54,gt_id_41,7.58E+38,0,1,3,8,0.05,0.2,0.333333333,0.069444444,2,,7.8,8.943333333,1,2,1,1,0,0,0,[],,FALSE
55,gt_id_41,7.58E+38,0,1,3,8,0.05,0.2,0.333333333,0.069444444,2,,7.8,8.943333333,1,3,1,1,0,0,0,[],,FALSE
56,gt_id_41,7.58E+38,0,1,3,8,0.05,0.2,0.333333333,0.069444444,2,,7.8,8.943333333,1,4,1,1,0,0,0,[],,FALSE
57,gt_id_41,7.58E+38,0,1,3,8,0.05,0.2,0.333333333,0.069444444,2,,7.8,8.943333333,1,5,1,1,0,0,0,[],,FALSE
58,gt_id_41,7.58E+38,0,1,3,8,0.05,0.2,0.333333333,0.069444444,2,,7.8,8.943333333,1,6,1.2,0.933333333,0.266666667,0,0.222222222,[0],,TRUE
59,gt_id_41,7.58E+38,0,1,3,8,0.05,0.2,0.333333333,0.069444444,2,,7.8,8.943333333,1,7,1.3,0.866666667,0.433333333,0,0.333333333,"[0, 1]",The FDA is closely monitoring the emerging drug shortage and encourages manufacturers to voluntarily report supply disruptions. We are prepared to assist in coordinating efforts to stabilize the market.,TRUE
60,gt_id_42,5a16c612,0,1,2,4,0.05,0.2,0,0,0,,4,4.2,0,0,1,1,0,0,0,[],,FALSE
61,gt_id_42,5a16c612,0,1,2,4,0.05,0.2,0,0,0,,4,4.2,0,1,1,1,0,0,0,[],,FALSE
62,gt_id_42,5a16c612,0,1,2,4,0.05,0.2,0,0,0,,4,4.2,0,2,1,1,0,0,0,[],,FALSE
63,gt_id_42,5a16c612,0,1,2,4,0.05,0.2,0,0,0,,4,4.2,0,3,1,1,0,0,0,[],,FALSE
64,gt_id_43,1efe5755,0,1,5,4,0.05,0.2,0.386666667,0.148484848,4,,3.71,4.836,2,0,1,0.96,0.04,0,0.04,[2],,TRUE
65,gt_id_43,1efe5755,0,1,5,4,0.05,0.2,0.386666667,0.148484848,4,,3.71,4.836,2,1,1,0.96,0.04,0,0.04,[2],,TRUE
66,gt_id_43,1efe5755,0,1,5,4,0.05,0.2,0.386666667,0.148484848,4,,3.71,4.836,2,2,1.1,0.96,0.14,0,0.127272727,[2],The FDA is aware of a minor manufacturer disruption. We are closely monitoring the situation to ensure continued market stability and encourage stakeholders to report any supply chain concerns.,TRUE
67,gt_id_43,1efe5755,0,1,5,4,0.05,0.2,0.386666667,0.148484848,4,,3.71,4.836,2,3,1.5,0.92,0.58,0,0.386666667,"[0, 2]",The FDA is closely monitoring the emerging drug shortage. Manufacturers and stakeholders are encouraged to report any supply issues. Coordination efforts are ongoing.,TRUE
68,gt_id_44,d7b12813,0,1,5,8,0.05,0.2,0.413333333,0.162666667,4,,7.695,10.216,4,0,1,1,0,0,0,[],,FALSE
69,gt_id_44,d7b12813,0,1,5,8,0.05,0.2,0.413333333,0.162666667,4,,7.695,10.216,4,1,1,1,0,0,0,[],,FALSE
70,gt_id_44,d7b12813,0,1,5,8,0.05,0.2,0.413333333,0.162666667,4,,7.695,10.216,4,2,1,1,0,0,0,[],,FALSE
71,gt_id_44,d7b12813,0,1,5,8,0.05,0.2,0.413333333,0.162666667,4,,7.695,10.216,4,3,1,1,0,0,0,[],,FALSE
72,gt_id_44,d7b12813,0,1,5,8,0.05,0.2,0.413333333,0.162666667,4,,7.695,10.216,4,4,1.2,0.92,0.28,0,0.233333333,"[0, 3]",The FDA is aware of early indicators of potential supply issues with certain drug products. We encourage manufacturers and stakeholders to voluntarily report any disruptions or challenges to support timely resolutions.,TRUE
73,gt_id_44,d7b12813,0,1,5,8,0.05,0.2,0.413333333,0.162666667,4,,7.695,10.216,4,5,1.5,0.88,0.62,0,0.413333333,"[0, 2, 3]",The FDA has identified an emerging shortage of critical medications due to manufacturer disruptions. We are actively working with stakeholders to coordinate production efforts. Healthcare providers are encouraged to report any supply challenges. Patient safety remains our highest priority.,TRUE
74,gt_id_44,d7b12813,0,1,5,8,0.05,0.2,0.413333333,0.162666667,4,,7.695,10.216,4,6,1.5,0.94,0.56,0,0.373333333,"[0, 2, 3]",The FDA is issuing an alert regarding an emerging drug shortage. We are coordinating with manufacturers to address supply disruptions. Health care providers are advised to conserve and prioritize uses based on medical necessity.,TRUE
75,gt_id_44,d7b12813,0,1,5,8,0.05,0.2,0.413333333,0.162666667,4,,7.695,10.216,4,7,1.5,1.078,0.422,0.078,0.281333333,"[0, 2]",The FDA acknowledges the emerging drug shortage and advises coordination amongst stakeholders. We urge manufacturers to accelerate production and resources for impacted patients. Voluntary reporting on supply updates is encouraged to mitigate impact.,FALSE
76,gt_id_45,702d5c72,0,1,3,9,0.05,0.2,0,0,0,,9,9.45,0,0,1,1,0,0,0,[],,FALSE
77,gt_id_45,702d5c72,0,1,3,9,0.05,0.2,0,0,0,,9,9.45,0,1,1,1,0,0,0,[],,FALSE
78,gt_id_45,702d5c72,0,1,3,9,0.05,0.2,0,0,0,,9,9.45,0,2,1,1,0,0,0,[],,FALSE
79,gt_id_45,702d5c72,0,1,3,9,0.05,0.2,0,0,0,,9,9.45,0,3,1,1,0,0,0,[],,FALSE
80,gt_id_45,702d5c72,0,1,3,9,0.05,0.2,0,0,0,,9,9.45,0,4,1,1,0,0,0,[],,FALSE
81,gt_id_45,702d5c72,0,1,3,9,0.05,0.2,0,0,0,,9,9.45,0,5,1,1,0,0,0,[],,FALSE
82,gt_id_45,702d5c72,0,1,3,9,0.05,0.2,0,0,0,,9,9.45,0,6,1,1,0,0,0,[],,FALSE
83,gt_id_45,702d5c72,0,1,3,9,0.05,0.2,0,0,0,,9,9.45,0,7,1,1,0,0,0,[],,FALSE
84,gt_id_45,702d5c72,0,1,3,9,0.05,0.2,0,0,0,,9,9.45,0,8,1,1,0,0,0,[],,FALSE
85,gt_id_46,4e8579e5,0,1,2,5,0.05,0.2,0.166666667,0.051515152,2,2,5.175,6.17,3,0,1.1,1,0.1,0,0.090909091,[],,FALSE
86,gt_id_46,4e8579e5,0,1,2,5,0.05,0.2,0.166666667,0.051515152,2,2,5.175,6.17,3,1,1.2,1,0.2,0,0.166666667,[],The FDA is aware of emerging supply imbalances in the market for the specified drug. We are monitoring the situation closely and encourage manufacturers and health care providers to report any supply disruptions or challenges.,FALSE
87,gt_id_46,4e8579e5,0,1,2,5,0.05,0.2,0.166666667,0.051515152,2,2,5.175,6.17,3,2,1.1,1.1,0,0.1,0,[],,FALSE
88,gt_id_46,4e8579e5,0,1,2,5,0.05,0.2,0.166666667,0.051515152,2,2,5.175,6.17,3,3,1.2,1.2,0,0.2,0,[1],The FDA is currently monitoring an emerging drug shortage. We encourage manufacturers and healthcare providers to report supply changes. We will continue assessing the situation and provide updates as needed.,FALSE
89,gt_id_46,4e8579e5,0,1,2,5,0.05,0.2,0.166666667,0.051515152,2,2,5.175,6.17,3,4,1.2,1.2,0,0.2,0,[1],"The FDA is aware of emerging supply concerns for the affected product. We are monitoring the situation closely and encourage healthcare providers and stakeholders to report any disruptions. At present, supply remains adequate and stable.",FALSE
90,gt_id_49,30989ec5,0,1,2,4,0.05,0.2,0,0,0,,4,4.2,0,0,1,1,0,0,0,[],,FALSE
91,gt_id_49,30989ec5,0,1,2,4,0.05,0.2,0,0,0,,4,4.2,0,1,1,1,0,0,0,[],,FALSE
92,gt_id_49,30989ec5,0,1,2,4,0.05,0.2,0,0,0,,4,4.2,0,2,1,1,0,0,0,[],,FALSE
93,gt_id_49,30989ec5,0,1,2,4,0.05,0.2,0,0,0,,4,4.2,0,3,1,1,0,0,0,[],,FALSE
94,gt_id_51,751cd6a8,0,1,2,9,0.05,0.2,0.25,0.086868687,4,,8.6,9.94,2,0,1,1,0,0,0,[],,FALSE
95,gt_id_51,751cd6a8,0,1,2,9,0.05,0.2,0.25,0.086868687,4,,8.6,9.94,2,1,1,1,0,0,0,[],,FALSE
96,gt_id_51,751cd6a8,0,1,2,9,0.05,0.2,0.25,0.086868687,4,,8.6,9.94,2,2,1,1,0,0,0,[],,FALSE
97,gt_id_51,751cd6a8,0,1,2,9,0.05,0.2,0.25,0.086868687,4,,8.6,9.94,2,3,1,1,0,0,0,[],,FALSE
98,gt_id_51,751cd6a8,0,1,2,9,0.05,0.2,0.25,0.086868687,4,,8.6,9.94,2,4,1,1,0,0,0,[],,FALSE
99,gt_id_51,751cd6a8,0,1,2,9,0.05,0.2,0.25,0.086868687,4,,8.6,9.94,2,5,1.2,0.9,0.3,0,0.25,[1],The FDA is aware of the emerging disruption with one manufacturer. We encourage all stakeholders to report any supply status updates for better coordination.,TRUE
100,gt_id_51,751cd6a8,0,1,2,9,0.05,0.2,0.25,0.086868687,4,,8.6,9.94,2,6,1.1,0.9,0.2,0,0.181818182,[],,TRUE
101,gt_id_51,751cd6a8,0,1,2,9,0.05,0.2,0.25,0.086868687,4,,8.6,9.94,2,7,1,0.9,0.1,0,0.1,[],,TRUE
102,gt_id_51,751cd6a8,0,1,2,9,0.05,0.2,0.25,0.086868687,4,,8.6,9.94,2,8,1.2,0.9,0.3,0,0.25,[],The FDA is currently monitoring an emerging shortage. We encourage stakeholders to report any supply issues they encounter to facilitate proactive management.,TRUE
103,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,0,1.1,1,0.1,0,0.090909091,[],,FALSE
104,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,1,1.2,0.96,0.24,0,0.2,[3],The FDA is aware of the emerging shortage situation and is closely monitoring the market conditions. We encourage manufacturers and stakeholders to report any changes in production or supply disruptions.,TRUE
105,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,2,1.2,1.17,0.03,0.17,0.025,[3],The FDA is actively monitoring the emerging shortage and encourages manufacturers to report capacity constraints. Stakeholders are advised to coordinate efforts to address potential supply disruptions.,FALSE
106,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,3,1.2,1.094,0.106,0.094,0.088333333,[0],"The FDA is aware of emerging supply disruptions affecting a specific manufacturer. We are closely monitoring the situation and encourage stakeholders to report any significant supply difficulties. At this time, the supply remains adequate.",FALSE
107,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,4,1.2,1.094,0.106,0.094,0.088333333,[0],,FALSE
108,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,5,1.1,1.028,0.072,0.028,0.065454545,[],,FALSE
109,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,6,1,0.96,0.04,0,0.04,[],,TRUE
110,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,7,1,0.96,0.04,0,0.04,[],,TRUE
111,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,8,1.2,1.1365,0.0635,0.1365,0.052916667,[3],The FDA is aware of emerging supply constraints for certain medications and is closely monitoring the situation. We encourage manufacturers and healthcare providers to report any disruptions.,FALSE
112,gt_id_52,feaaa3ef,0,1,5,10,0.05,0.2,0.2,0.074386364,10,,10.34125,12.23525,5,9,1.2,1.1365,0.0635,0.1365,0.052916667,[3],The FDA is aware of emerging supply issues with certain medications. We encourage manufacturers and stakeholders to continue voluntary reporting of supply status to ensure patient needs are met.,FALSE
113,gt_id_53,55b8d6e3,0,1,2,6,0.05,0.2,0.52,0.321770452,5,,4.812,8.082,5,0,1,1,0,0,0,[],,FALSE
114,gt_id_53,55b8d6e3,0,1,2,6,0.05,0.2,0.52,0.321770452,5,,4.812,8.082,5,1,1,0.9,0.1,0,0.1,[1],The FDA is aware of a disruption affecting one manufacturer but overall market supply remains stable. We encourage voluntary reporting of any potential issues and continue to monitor closely.,TRUE
115,gt_id_53,55b8d6e3,0,1,2,6,0.05,0.2,0.52,0.321770452,5,,4.812,8.082,5,2,1.4,0.8,0.6,0,0.428571429,"[0, 1]","The FDA is aware of emerging supply disruptions in the market, with two manufacturers experiencing issues. We encourage voluntary reporting from stakeholders to better assess the situation and coordinate a response if needed.",TRUE
116,gt_id_53,55b8d6e3,0,1,2,6,0.05,0.2,0.52,0.321770452,5,,4.812,8.082,5,3,1.5,0.8,0.7,0,0.466666667,[0],The FDA is closely monitoring an emerging drug shortage situation. We encourage manufacturers and healthcare providers to report any disruptions or supply concerns to facilitate effective coordination.,TRUE
117,gt_id_53,55b8d6e3,0,1,2,6,0.05,0.2,0.52,0.321770452,5,,4.812,8.082,5,4,1.5,0.72,0.78,0,0.52,[0],The FDA is closely monitoring an emerging drug shortage situation. We encourage stakeholders to report supply issues and cooperate to ensure continued patient access.,TRUE
118,gt_id_53,55b8d6e3,0,1,2,6,0.05,0.2,0.52,0.321770452,5,,4.812,8.082,5,5,1.3,0.76,0.54,0,0.415384615,[1],The FDA is aware of emerging supply disruptions in the market. We encourage manufacturers to report production updates and collaborate with stakeholders for expedited resolution.,TRUE
119,gt_id_56,b737432c,0,1,8,4,0.05,0.2,0.269230769,0.13548951,4,,3.921875,4.86,1,0,1.1,1,0.1,0,0.090909091,[],,FALSE
120,gt_id_56,b737432c,0,1,8,4,0.05,0.2,0.269230769,0.13548951,4,,3.921875,4.86,1,1,1.1,1,0.1,0,0.090909091,[],,FALSE
121,gt_id_56,b737432c,0,1,8,4,0.05,0.2,0.269230769,0.13548951,4,,3.921875,4.86,1,2,1.1,1,0.1,0,0.090909091,[],,FALSE
